ID,Date,Weekday,TimeStart,TimeEnd,Location,Title,FourTopics,Topic,Workshop,Series,Speaker,Title,Degree,Gender,Hostdep,InstituteVStudent,Open,RSVP,Food,"Meal Type (lunch, dinner, refreshments)","food offered e.g. pizza, healthy",MealSnake,Data Collector,Source
1,2018-08-28,Tuesday,5:30 PM,7:00 PM,Countway,Countway Longwood Author Series: The Antibiotic Era,Academic,Academic,N,Y,Scott Podolsky,HMS Professor of Global Health and Social Medicine,,male,Office for Postdoctoral Fellows,Institution,Y,N,N,,,,Olivia,
2,2018-08-29,Wednesday,5:00 PM,6:30 PM,Countway,Oral Presentation Practice,Academic,Instruction,Y,N,,,,,,Institution,Y,Y,N,,,,Olivia,
3,2018-09-04,Tuesday,1:00 PM,,Kresge LL6,Introduction to Stata,Academic,Instruction,Y,N,,,,,Student Affairs,Institution,Y,N,N,,,,Olivia,
4,2018-09-05,Wednesday,5:30 PM,8:00 PM,Kresge 202B,TA Training Workshop,Academic,Instruction,Y,N,,,,,,Institution,N,Y,N,,,,Olivia,
5,2018-09-05,Wednesday,1:00 PM,1:50 PM,Kresge Room 202B,Countway Library Brown Bag at the Chan School - PubMed: Time Saving Tools,Academic,Instruction,Y,N,,,,,,Institution,Y,N,N,,,,Olivia,
6,2018-09-06,Thursday,12:00 PM,1:00 PM,Leadership Studio/online,Translating Research for Better Policy,Academic,Academic,N,Y,Dr. Patricia Garcia,Menschel Senior Leadership Fellow,,female,,Institution,Y,N,N,,,,Olivia,
7,2018-09-06,Thursday,1:00 PM,1:50 PM,Kresge 200,Info Session - Public Health Leadership Lab,Academic,Academic,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
8,2018-09-06,Thursday,5:00 PM,7:00 PM,Kresge Cafeteria,Harvard Chan Resource Fair,Welfare,Resource,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
9,2018-09-06,Thursday,10:00 AM,12:00 PM,"Building 1, Room 1208",HQSS Commission Report Launch,Academic,Global Health,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
10,2018-09-06,Thursday,4:00 PM,5:00 PM,Countway,Mindfulness Workshop - Learning to be fully present,Welfare,Welfare,Y,N,,,,,,Institution,Y,N,N,,,,Olivia,
11,2018-09-06,Thursday,4:30 PM,,Sanders Theatre,A Conversation on Being Mortal with Dr.Atul Gawande,Academic,Academic,N,N,Atul Gawande,"surgeon, writer, PH leader",MD,male,Harvard Divinity School,Institution,N,N,N,,,,Olivia,
12,2018-09-07,Friday,3:00 PM,,Kresge Courtyard,First Friday Ice Cream Social,Social,Social,N,N,,,,,Student Affairs,Institution,Y,N,Y,Dessert,ice cream,snack,Olivia,
13,2018-09-07,Friday,4:00 PM,6:00 PM,Landmark 4th floor,C-Change First Fridays - September,Academic,Academic,N,Y,,,,,"Center for Climate, Health, and the Global Environment",Institution,Y,N,N,,,,Olivia,
14,2018-09-07,Friday,1:00 PM,2:00 PM,Kresge G4,Financial Aid Open Hour,Welfare,Financial Aid,N,Y,,,,,Financial Aid,Institution,Y,N,N,,,,Olivia,
15,2018-09-08,Saturday,7:00 PM,10:00 PM,Boylston Hall 105,Bible Study and Dinner Fellowship,Religious,Religious,N,Y,,,,,ABSK,Student,Y,N,Y,Dinner,CA rolls and miso soup,meal,Olivia,
16,2018-09-10,Monday,1:00 PM,1:50 PM,Kresge G1,Info Session - Global Health and Population Field Courses,Academic,Academic,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
17,2018-09-10,Monday,2:00 PM,3:00 PM,Countway,Calming the Worried Mind/Mending your Mood Workshop,Welfare,Welfare,Y,N,,,,,,Institution,Y,N,N,,,,Olivia,
18,2018-09-11,Tuesday,5:00 PM,6:30 PM,HGSE,Info Session - Center on the Developing Child,Academic,Resource,N,N,Jack P. Shonkoff,Center Director,MD,male,,Institution,Y,Y,Y,light refreshments,,snack,Olivia,
19,2018-09-11,Tuesday,1:00 PM,1:50 PM,Kresge 502,Info Session - Global Health and Population Field Courses,Academic,Resource,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
20,2018-09-11,Tuesday,1:00 PM,1:50 PM,FXB G12,Mental Health Student Alliance Meeting,Welfare,Mental Health,N,N,,,,,Mental Health Student Alliance,Student,Y,N,N,,,,Olivia,
21,2018-09-11,Tuesday,1:00 PM,1:45 PM,Kresge 200,Money Orientation,Welfare,Finances,N,Y,,,,,OSFS,Institution,Y,N,N,,,,Olivia,
22,2018-09-11,Tuesday,5:30 PM,8:00 PM,Countway,The S Word documentary screening,Welfare,Mental Health,N,N,,,,,,Institution,Y,N,N,,,,Olivia,
23,2018-09-12,Wednesday,9:00 AM,10:00 AM,Kresge G1,The Future of Wellbeing: A Conversation with Deepak Chopra,Welfare,Academic,N,N,Deepak Chopra,author,MD,male,,Institution,Y,Y,,,,,Olivia,
